DATE,TIME,現在発電量,累積発電量,発電機回転数,発電機電圧,発電機電流,本日三相発電,ｶﾞｲﾄﾞﾍﾞﾝ開度,水圧,流量,効率,水位,系統電圧,系統電流,系統連系　ｲﾝﾊﾞｰﾀ　異常保持,ｶﾞｲﾄﾞﾍﾞｰﾝｲﾝﾊﾞｰﾀ異常保持,放電抵抗器　過熱異常保持,制動ﾕﾆｯﾄ　異常保持,発電機　過熱異常　保持,発電機　ｲﾝﾊﾞｰﾀ　異常保持,発電機　運転,発電機　運転準備,系統連系　ｺﾝﾊﾞｰﾀ　運転,系統連系　ｺﾝﾊﾞｰﾀ　運転準備,発電機電力,発電機電圧,ﾍﾞｱﾘﾝｸﾞ温度
2024-01-22,11:06:33,0.0,0,0,1012.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-14,09:55:35,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-14,09:56:30,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
